Config,Features,Scaler,Method,PCA_Components,Clusters,Silhouette,DBSCAN_eps,DBSCAN_min_samples,Noise_points,Age_Group,Subset_Size
KMeans_StandardScaler_Age+Purchase Amount (USD)_k2,Age+Purchase Amount (USD),StandardScaler,KMeans,,2,0.35755873022742507,,,,,
AgglomerativeClustering_StandardScaler_Age+Purchase Amount (USD)_k2,Age+Purchase Amount (USD),StandardScaler,AgglomerativeClustering,,2,0.3327724511758709,,,,,
KMeans_StandardScaler_Age+Purchase Amount (USD)_k3,Age+Purchase Amount (USD),StandardScaler,KMeans,,3,0.3818206152922139,,,,,
AgglomerativeClustering_StandardScaler_Age+Purchase Amount (USD)_k3,Age+Purchase Amount (USD),StandardScaler,AgglomerativeClustering,,3,0.3365530611455608,,,,,
KMeans_StandardScaler_Age+Purchase Amount (USD)_k4,Age+Purchase Amount (USD),StandardScaler,KMeans,,4,0.4137636049383981,,,,,
AgglomerativeClustering_StandardScaler_Age+Purchase Amount (USD)_k4,Age+Purchase Amount (USD),StandardScaler,AgglomerativeClustering,,4,0.37239634629595514,,,,,
KMeans_StandardScaler_Age+Purchase Amount (USD)_k5,Age+Purchase Amount (USD),StandardScaler,KMeans,,5,0.3963557075034362,,,,,
AgglomerativeClustering_StandardScaler_Age+Purchase Amount (USD)_k5,Age+Purchase Amount (USD),StandardScaler,AgglomerativeClustering,,5,0.34817248443743887,,,,,
KMeans_StandardScaler_Age+Purchase Amount (USD)_k6,Age+Purchase Amount (USD),StandardScaler,KMeans,,6,0.3812396089879342,,,,,
AgglomerativeClustering_StandardScaler_Age+Purchase Amount (USD)_k6,Age+Purchase Amount (USD),StandardScaler,AgglomerativeClustering,,6,0.32071732859078683,,,,,
KMeans_StandardScaler_Age+Purchase Amount (USD)_k7,Age+Purchase Amount (USD),StandardScaler,KMeans,,7,0.37447179185202534,,,,,
AgglomerativeClustering_StandardScaler_Age+Purchase Amount (USD)_k7,Age+Purchase Amount (USD),StandardScaler,AgglomerativeClustering,,7,0.3290101182544929,,,,,
KMeans_StandardScaler_Age+Purchase Amount (USD)_k8,Age+Purchase Amount (USD),StandardScaler,KMeans,,8,0.3638423021702658,,,,,
AgglomerativeClustering_StandardScaler_Age+Purchase Amount (USD)_k8,Age+Purchase Amount (USD),StandardScaler,AgglomerativeClustering,,8,0.31156117323738597,,,,,
