Prelabel_Combination,Num_Unique_Prelabels,Num_Clusters,Silhouette_Score,Improvement
Location + Payment Method,300,10,0.2141319574622491,0.02272345795253547
Location + Age + Gender,2650,10,0.21986920211964425,0.02846070260993061
Payment Method + Shipping Type + Frequency of Purchases,252,10,0.2145862562585973,0.02317775674888367
Location + Season,200,10,0.2125971118149636,0.02118861230524996
Color + Season,100,10,0.2142714691296836,0.022862969619969947
Location + Frequency of Purchases,350,10,0.20507202657655435,0.013663527066840708
Location + Frequency of Purchases + Category,1202,10,0.21297604378770635,0.021567544277992706
Location + Shipping Type,300,10,0.2157921014606658,0.024383601950952155
Gender + Shipping Type,12,12,0.22347510249394803,0.03206660298423439
Gender + Item Purchased,50,10,0.21262174559593794,0.021213246086224297
Review Rating + Item Purchased,647,10,0.21080129958722374,0.019392800077510097
